"Kernel Name","main_kernel",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Divergent Branches","Address Space","Access Operation","Access Size","L1 Conflicts Shared N-Way","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x7fadff775730","      SYNCS.EXCH.64 URZ, [UR8+0x20], UR6","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7fadff775740","      SYNCS.EXCH.64 URZ, [UR8+0x28], UR6","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7fadff775750","      SYNCS.EXCH.64 URZ, [UR8+0x30], UR6","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7fadff775760","      SYNCS.EXCH.64 URZ, [UR8+0x38], UR6","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7fadff775770","      SYNCS.EXCH.64 URZ, [UR8+0x40], UR4","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7fadff775780","      NOP","1","1","1","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0x7fadff775790","      BSYNC B0","0","0","0","16384","262144","262144","16","16","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7fadff7757a0","      BAR.SYNC.DEFER_BLOCKING 0x0","70","47","70","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","52","1","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","33","0","0","0","0","0","0"
"0x7fadff7757b0","      ISETP.GT.AND P0, PT, R3, 0xff, PT","2","0","2","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7fadff7757c0","@P0   BRA 0x7fadff780300","698","601","698","98304","3145728","1048576","32","10","0","-","-","-","0","0","0","0","674","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","19","592","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
