N_CTX,Triton [FP16] (TFLOPS),Flash-3 (TFLOPS),TileLang (TFLOPS),TileLang-ws (TFLOPS)
1024.000000,0.181655,0.145340,0.172681,0.148559
2048.000000,0.603318,0.483179,0.633464,0.553539
4096.000000,2.251274,1.911133,2.444060,2.103108
8192.000000,8.618726,7.022317,8.850219,8.529076
16384.000000,33.985823,27.602463,36.326992,32.053279
