N_CTX,Triton [FP16] (TFLOPS),Flash-3 (TFLOPS),TileLang (TFLOPS),TileLang-ws (TFLOPS)
1024.000000,0.227693,0.185548,0.495068,0.221894
2048.000000,0.822335,0.691832,1.862322,0.805401
4096.000000,3.088783,2.912450,6.945519,3.065667
8192.000000,12.186372,11.715844,27.344299,12.726235
16384.000000,46.899647,46.243713,110.797310,45.767166
