N_CTX,Triton [FP16] (TFLOPS),Flash-3 (TFLOPS),TileLang (TFLOPS),TileLang-ws (TFLOPS)
1024.000000,0.135409,0.151422,0.172649,0.148633
2048.000000,0.487494,0.474871,0.596903,0.518884
4096.000000,1.964700,1.816790,2.258127,2.102755
8192.000000,7.891895,6.937790,8.900847,8.238437
16384.000000,29.280555,28.951787,36.683887,30.700160
