N_CTX,Triton [FP16] (TFLOPS),Flash-3 (TFLOPS),TileLang (TFLOPS),TileLang-ws (TFLOPS)
1024.000000,0.153010,0.137090,0.270155,0.152574
2048.000000,0.495076,0.433826,0.884329,0.474956
4096.000000,1.788670,1.793726,3.303364,1.715799
8192.000000,7.066283,7.179697,12.233388,6.198475
16384.000000,25.927264,25.679830,47.136847,24.731336
