N_CTX,Triton [FP16] (TFLOPS),Flash-3 (TFLOPS),TileLang (TFLOPS),TileLang-ws (TFLOPS)
1024.000000,0.230106,0.189506,0.469206,0.210621
2048.000000,0.813850,0.696696,1.729092,0.788011
4096.000000,3.133624,2.764306,6.792473,2.977618
8192.000000,12.742524,9.680939,26.811115,11.646148
16384.000000,46.450495,48.846128,106.788963,44.923759
