"Kernel Name","main_kernel",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Divergent Branches","Address Space","Access Operation","Access Size","L1 Conflicts Shared N-Way","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x7f86d7775760","      SYNCS.EXCH.64 URZ, [UR8+0x38], UR6","1","1","1","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"0x7f86d7775770","      SYNCS.EXCH.64 URZ, [UR8+0x40], UR4","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d7775780","      NOP","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d7775790","      BSYNC B0","0","0","0","16384","262144","262144","16","16","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d77757a0","      ISETP.GT.AND P0, PT, R2, 0xff, PT","41","35","41","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","29","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0"
"0x7f86d77757b0","      NOP","3","0","3","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d77757c0","      BAR.SYNC.DEFER_BLOCKING 0x0","3","0","3","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d77757d0","@P0   BRA 0x7f86d777a320","674","643","674","98304","3145728","1048576","32","10","0","-","-","-","0","0","0","0","650","0","0","0","0","0","0","0","0","0","0","0","11","3","0","0","0","10","633","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"0x7f86d77757e0","      WARPSYNC.ALL","27","19","27","116401","3724832","3724832","32","32","0","-","-","-","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","2","0","5","0","0","0","12","0","7","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","10"
"0x7f86d77757f0","      NOP","28","15","28","116401","3724832","3724832","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
